TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
0,-0.07530120481927711,-1.0,-0.5,-1.3708566189039444,25,5,11,0.5719864895344383,-0.1756826337054845
2,1.0793172690763053,-0.5,0.0,-1.1737437858426698,25,5,11,0.058331523694955166,-0.4357547806476906
2,0.4267068273092369,-0.5,0.0,-0.9989839544687563,25,3,1,-0.8464320774242142,-0.25732842856891047
2,0.572289156626506,-0.5,0.0,-1.0182888195623863,25,3,1,-0.4043529656130078,-0.22530075045642692
0,-0.6295180722891566,-1.0,-0.5,0.0,25,7,13,-0.15876182409229056,0.8712071918493207
4,-0.20593574297188755,0.0,0.0,-0.7967908937512633,28,4,16,-1.7226146146284054,-1.5696825991974042
10,0.6666666666666666,1.5,0.18693042898421863,1.621397470608703,28,4,16,-1.992725972860314,-2.0132834038630887
12,64.43273092369478,0.0,0.18693042898421863,13.224637437411568,28,4,12,0.7110385670150671,-0.21485175881109264
2,0.7730923694779116,0.0,0.5,-0.7835823018450955,28,4,9,-0.25908642308574575,0.0609191051497024
2,-0.1706827309236948,0.0,0.0,-1.4033700759037422,28,4,9,-0.19962352873624165,0.3383491831045401
2,0.3514056224899598,-0.5,0.0,-1.086363870155713,25,3,1,-0.25908642308574575,0.0609191051497024
10,2.0632530120481927,3.0,0.18693042898421863,0.16845236093023586,28,4,14,0.7868726071701898,1.433062364417377
10,-0.02710843373493976,0.0,1.0,-0.034756745318500815,28,4,16,-1.4457378393276032,-1.271414890995558
8,0.8634538152610441,0.0,0.18693042898421863,0.0,28,4,14,-0.06711443427830925,0.33085155421640855
2,30.296184738955823,0.0,1.0,2.3448218888542054,25,5,11,0.5786241496126993,-0.35585328767515645
8,1.7319277108433735,0.0,0.18693042898421863,0.0,28,4,9,-1.5478932416249922,-0.2371121378496601
8,-0.7088353413654619,0.0,0.18693042898421863,0.0,28,4,0,1.9385163265911096,1.0167262944139053
6,-0.5582329317269076,1.0,0.0,0.0,28,4,14,-0.6933529667793725,1.9810462309666792
2,0.8283132530120482,-0.5,0.0,-1.1371661467178973,25,5,11,0.7885288852994236,-0.08307929860227016
2,0.8283132530120482,-0.5,0.0,-1.1371661467178973,25,5,11,0.7885288852994236,-0.08307929860227016
12,12.173694779116467,1.0,1.0,1.178401618986457,28,4,12,0.2520327946262611,-0.5956379075189983
2,4.944779116465863,0.0,0.0,0.03941457846228807,25,5,11,0.255296301325639,-0.4024923386327225
10,-0.5773092369477911,1.0,0.0,0.0,28,4,14,-0.514644891254238,1.5064734317491872
11,0.12550200803212852,1.5,0.18693042898421863,1.2190434402362045,25,7,13,-0.7337355827082687,2.0394442314274124
7,-0.24096385542168675,0.0,0.0,-1.1016045531243683,28,4,16,-1.5490624462272413,-1.6209816966134376
7,7.956827309236948,1.5,2.0,0.0,28,4,9,-0.9802335707253891,-0.9534621967343389
7,-0.23092369477911648,0.0,-0.5,-0.8821387183757328,28,4,9,-1.0301831320188726,0.12346266710974547
2,-0.6124497991967871,-1.0,-0.5,-1.5842261804651179,25,5,11,0.14311197525989744,-0.6029050075696308
5,0.12550200803212852,-1.0,-0.5,-1.5882903625900926,28,4,12,0.9630917027519152,-0.2602332898008915
7,-0.5130522088353414,0.0,-0.5,-0.6220310623773498,28,4,9,-0.889625347148083,0.019018262788796078
